epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.707,2.31077,4.74065,2.37937,0.85025,0.1277,0.14668,0.04925,1.76121,3.73266,1.38874,0.000411458,0.000411458,0.000411458
2,646.169,1.48304,2.62717,1.42053,0.7454,0.64852,0.71615,0.28773,1.51049,3.58927,0.95683,0.000746141,0.000746141,0.000746141
3,942.244,1.26203,2.05632,1.27774,0.69319,0.58529,0.68934,0.38813,1.57232,1.60235,1.02201,0.000998323,0.000998323,0.000998323
4,1231.84,1.20218,1.72833,1.24701,0.71736,0.84532,0.7746,0.53706,0.91312,1.23684,0.6518,0.00087875,0.00087875,0.00087875
5,1521.25,1.15494,1.5003,1.2163,0.53811,0.94695,0.60945,0.4831,1.05179,1.1816,0.60602,0.000755,0.000755,0.000755
6,1811.72,1.03233,1.35786,1.17827,0.58531,0.92522,0.75606,0.6525,0.67417,0.89436,0.50519,0.00063125,0.00063125,0.00063125
7,2101.91,1.04314,1.2623,1.17909,0.81775,0.95842,0.85486,0.71607,0.60632,0.79389,0.49783,0.0005075,0.0005075,0.0005075
8,2392.1,0.92431,1.12822,1.12576,0.69693,0.91205,0.89794,0.80767,0.53089,0.70043,0.3988,0.00038375,0.00038375,0.00038375
9,2681.85,0.8643,1.0673,1.11166,0.59652,0.93172,0.71958,0.62871,0.54179,0.77821,0.41983,0.00026,0.00026,0.00026
10,2972.47,0.82612,1.02521,1.1028,0.61929,0.88319,0.75909,0.672,0.40407,0.68759,0.34143,0.00013625,0.00013625,0.00013625
